code,organisation_long,disciplines
2491310,International Basketball Federation,BKB
1894925,Brazil,VBV
1894942,Portugal,VBV
1894943,Canada,VBV
1894975,Italy,VBV
1894978,People's Republic of China,VBV
1894979,United States of America,VBV
1895002,Japan,VBV
1895006,Colombia,VBV
1895011,France,VBV
1895012,Poland,VBV
1895013,Greece,VBV
1895018,Serbia,VBV
1895019,Canada,VBV
1895022,Australia,VBV
1895034,Argentina,VBV
1895035,Poland,VBV
1895040,Spain,VBV
1895048,Rwanda,VBV
2281445,International Volleyball Federation,VBV
2281448,International Volleyball Federation,VBV
2281449,International Volleyball Federation,VBV
2281450,International Volleyball Federation,VBV
2281451,International Volleyball Federation,VBV
2281452,International Volleyball Federation,VBV
2281454,International Volleyball Federation,VBV
2281455,International Volleyball Federation,VBV
2281456,International Volleyball Federation,VBV
2281457,International Volleyball Federation,VBV
2281459,International Volleyball Federation,VBV
2281460,International Volleyball Federation,VBV
2281461,International Volleyball Federation,VBV
2281462,International Volleyball Federation,VBV
2281463,International Volleyball Federation,VBV
2281466,International Volleyball Federation,VBV
2281467,International Volleyball Federation,VBV
2281469,International Volleyball Federation,VBV
2281471,International Volleyball Federation,VBV
2281472,International Volleyball Federation,VBV
3002003,South Africa,VBV
3052943,International Volleyball Federation,VBV
1958435,Ireland,BOX
1958462,United States of America,BOX
1958696,Kazakhstan,BOX
1958816,France,BOX
1958835,Paris 2024 Boxing Unit,BOX
1958863,Puerto Rico,BOX
1958875,Guatemala,BOX
1972217,Azerbaijan,BOX
1972380,Paris 2024 Boxing Unit,BOX
1979320,Uzbekistan,BOX
1979476,Paris 2024 Boxing Unit,BOX
1979546,Paris 2024 Boxing Unit,BOX
1993466,Paris 2024 Boxing Unit,BOX
1993467,Paris 2024 Boxing Unit,BOX
1993468,Paris 2024 Boxing Unit,BOX
1993469,Paris 2024 Boxing Unit,BOX
1993470,Paris 2024 Boxing Unit,BOX
1993544,Paris 2024 Boxing Unit,BOX
1993545,Paris 2024 Boxing Unit,BOX
1993546,Paris 2024 Boxing Unit,BOX
1993547,Paris 2024 Boxing Unit,BOX
1993548,Paris 2024 Boxing Unit,BOX
1993549,Paris 2024 Boxing Unit,BOX
1993550,Paris 2024 Boxing Unit,BOX
1993551,Paris 2024 Boxing Unit,BOX
1993552,Paris 2024 Boxing Unit,BOX
1993553,Paris 2024 Boxing Unit,BOX
1993554,Paris 2024 Boxing Unit,BOX
1993555,Paris 2024 Boxing Unit,BOX
1993556,Paris 2024 Boxing Unit,BOX
1993557,Paris 2024 Boxing Unit,BOX
1993558,Paris 2024 Boxing Unit,BOX
1994107,Paris 2024 Boxing Unit,BOX
1994108,Paris 2024 Boxing Unit,BOX
1994109,Paris 2024 Boxing Unit,BOX
1994110,Paris 2024 Boxing Unit,BOX
1994111,Paris 2024 Boxing Unit,BOX
1994112,Paris 2024 Boxing Unit,BOX
2005674,Paris 2024 Boxing Unit,BOX
2005675,Paris 2024 Boxing Unit,BOX
2005676,Paris 2024 Boxing Unit,BOX
2005677,Paris 2024 Boxing Unit,BOX
2005678,Paris 2024 Boxing Unit,BOX
2005679,Paris 2024 Boxing Unit,BOX
2005680,Paris 2024 Boxing Unit,BOX
2005681,Paris 2024 Boxing Unit,BOX
2005682,Paris 2024 Boxing Unit,BOX
2005683,Norway,BOX
2005684,Hungary,BOX
2005685,Netherlands,BOX
2005686,Paris 2024 Boxing Unit,BOX
2005687,Paris 2024 Boxing Unit,BOX
2005688,Czechia,BOX
2005690,Paris 2024 Boxing Unit,BOX
2005691,Germany,BOX
2005692,Paris 2024 Boxing Unit,BOX
2005693,Estonia,BOX
2005694,Paris 2024 Boxing Unit,BOX
2005695,Paris 2024 Boxing Unit,BOX
2005696,Bulgaria,BOX
2005697,Canada,BOX
2005698,Estonia,BOX
2005699,Paris 2024 Boxing Unit,BOX
2005700,Paris 2024 Boxing Unit,BOX
2005701,Paris 2024 Boxing Unit,BOX
2005702,Paris 2024 Boxing Unit,BOX
2005703,Paris 2024 Boxing Unit,BOX
2005704,Argentina,BOX
2005705,Slovakia,BOX
2005706,Paris 2024 Boxing Unit,BOX
2005707,Paris 2024 Boxing Unit,BOX
