event,sport_code,medal_code,medal_type,name,medal_date
Men's Double Sculls,ROW,2,Silver,Netherlands,2024-08-01
Men's Double Sculls,ROW,3,Bronze,Ireland,2024-08-01
Men's Eight,ROW,1,Gold,Great Britain,2024-08-03
Men's Eight,ROW,2,Silver,Netherlands,2024-08-03
Men's Eight,ROW,3,Bronze,United States,2024-08-03
Men's Four,ROW,1,Gold,United States,2024-08-01
Men's Four,ROW,2,Silver,New Zealand,2024-08-01
Men's Four,ROW,3,Bronze,Great Britain,2024-08-01
Men's Pair,ROW,1,Gold,Croatia,2024-08-02
Men's Pair,ROW,2,Silver,Great Britain,2024-08-02
Men's Pair,ROW,3,Bronze,Switzerland,2024-08-02
Men's Quadruple Sculls,ROW,1,Gold,Netherlands,2024-07-31
Men's Quadruple Sculls,ROW,2,Silver,Italy,2024-07-31
Men's Quadruple Sculls,ROW,3,Bronze,Poland,2024-07-31
Men's Single Sculls,ROW,1,Gold,Oliver ZEIDLER,2024-08-03
Men's Single Sculls,ROW,2,Silver,Yauheni ZALATY,2024-08-03
Men's Single Sculls,ROW,3,Bronze,Simon van DORP,2024-08-03
Women's Double Sculls,ROW,1,Gold,New Zealand,2024-08-01
Women's Double Sculls,ROW,2,Silver,Romania,2024-08-01
Women's Double Sculls,ROW,3,Bronze,Great Britain,2024-08-01
Women's Eight,ROW,1,Gold,Romania,2024-08-03
Women's Eight,ROW,2,Silver,Canada,2024-08-03
Women's Eight,ROW,3,Bronze,Great Britain,2024-08-03
Women's Four,ROW,1,Gold,Netherlands,2024-08-01
Women's Four,ROW,2,Silver,Great Britain,2024-08-01
Women's Four,ROW,3,Bronze,New Zealand,2024-08-01
Women's Pair,ROW,1,Gold,Netherlands,2024-08-02
Women's Pair,ROW,2,Silver,Romania,2024-08-02
Women's Pair,ROW,3,Bronze,Australia,2024-08-02
Women's Quadruple Sculls,ROW,1,Gold,Great Britain,2024-07-31
Women's Quadruple Sculls,ROW,2,Silver,Netherlands,2024-07-31
Women's Quadruple Sculls,ROW,3,Bronze,Germany,2024-07-31
Women's Single Sculls,ROW,1,Gold,Karolien FLORIJN,2024-08-03
Women's Single Sculls,ROW,2,Silver,Emma TWIGG,2024-08-03
Women's Single Sculls,ROW,3,Bronze,Viktorija SENKUTE,2024-08-03
Women,RU10,1,Gold,New Zealand,2024-07-30
Women,RU11,2,Silver,Canada,2024-07-30
Women,RU12,3,Bronze,United States,2024-07-30
Men,RU7,1,Gold,France,2024-07-27
Men,RU8,2,Silver,Fiji,2024-07-27
Men,RU9,3,Bronze,South Africa,2024-07-27
Men's Dinghy,SAL,1,Gold,Matt WEARN,2024-08-07
Men's Dinghy,SAL,2,Silver,Pavlos KONTIDES,2024-08-07
Men's Dinghy,SAL,3,Bronze,Stefano PESCHIERA,2024-08-07
Men's Kite,SAL,1,Gold,Valentin BONTUS,2024-08-09
Men's Kite,SAL,2,Silver,Toni VODISEK,2024-08-09
Men's Kite,SAL,3,Bronze,Maximilian MAEDER,2024-08-09
Men's Skiff,SAL,1,Gold,BOTIN/TRITTEL,2024-08-02
Men's Skiff,SAL,2,Silver,McHARDIE/McKENZIE,2024-08-02
Men's Skiff,SAL,3,Bronze,BARROWS/HENKEN,2024-08-02
Men's Windsurfing,SAL,1,Gold,Tom REUVENY,2024-08-03
Men's Windsurfing,SAL,2,Silver,Grae MORRIS,2024-08-03
Men's Windsurfing,SAL,3,Bronze,Luuc van OPZEELAND,2024-08-03
Women's Dinghy,SAL,1,Gold,Marit BOUWMEESTER,2024-08-07
Women's Dinghy,SAL,2,Silver,Anne-Marie RINDOM,2024-08-07
Women's Dinghy,SAL,3,Bronze,Line Flem HOEST,2024-08-07
Women's Kite,SAL,1,Gold,Eleanor ALDRIDGE,2024-08-08
Women's Kite,SAL,2,Silver,Lauriane NOLOT,2024-08-08
Women's Kite,SAL,3,Bronze,Annelous LAMMERTS,2024-08-08
Women's Skiff,SAL,1,Gold,AANHOLT/DUETZ,2024-08-02
Women's Skiff,SAL,2,Silver,BOBECK/NETZLER,2024-08-02
Women's Skiff,SAL,3,Bronze,STEYAERT/PICON,2024-08-02
Women's Windsurfing,SAL,1,Gold,Marta MAGGETTI,2024-08-03
Women's Windsurfing,SAL,2,Silver,Sharon KANTOR,2024-08-03
Women's Windsurfing,SAL,3,Bronze,Emma WILSON,2024-08-03
10m Air Pistol Men,SHO,1,Gold,XIE Yu,2024-07-28
10m Air Pistol Men,SHO,2,Silver,Federico Nilo MALDINI,2024-07-28
10m Air Pistol Men,SHO,3,Bronze,Paolo MONNA,2024-07-28
10m Air Pistol Mixed Team,SHO,1,Gold,Serbia,2024-07-30
10m Air Pistol Mixed Team,SHO,2,Silver,T?¬rkiye 2,2024-07-30
10m Air Pistol Mixed Team,SHO,3,Bronze,India 1,2024-07-30
10m Air Pistol Women,SHO,1,Gold,OH Ye Jin,2024-07-28
10m Air Pistol Women,SHO,2,Silver,KIM Yeji,2024-07-28
10m Air Pistol Women,SHO,3,Bronze,Manu BHAKER,2024-07-28
10m Air Rifle Men,SHO,1,Gold,SHENG Lihao,2024-07-29
10m Air Rifle Men,SHO,2,Silver,Victor LINDGREN,2024-07-29
10m Air Rifle Men,SHO,3,Bronze,Miran MARICIC,2024-07-29
10m Air Rifle Mixed Team,SHO,1,Gold,China 1,2024-07-27
10m Air Rifle Mixed Team,SHO,2,Silver,Korea 1,2024-07-27
10m Air Rifle Mixed Team,SHO,3,Bronze,Kazakhstan 1,2024-07-27
10m Air Rifle Women,SHO,1,Gold,BAN Hyojin,2024-07-29
10m Air Rifle Women,SHO,2,Silver,HUANG Yuting,2024-07-29
10m Air Rifle Women,SHO,3,Bronze,Audrey GOGNIAT,2024-07-29
25m Pistol Women,SHO,1,Gold,YANG Jiin,2024-08-03
25m Pistol Women,SHO,2,Silver,Camille JEDRZEJEWSKI,2024-08-03
25m Pistol Women,SHO,3,Bronze,Veronika MAJOR,2024-08-03
25m Rapid Fire Pistol Men,SHO,1,Gold,LI Yuehong,2024-08-05
25m Rapid Fire Pistol Men,SHO,2,Silver,CHO Yeongjae,2024-08-05
25m Rapid Fire Pistol Men,SHO,3,Bronze,WANG Xinjie,2024-08-05
50m Rifle 3 Positions Men,SHO,1,Gold,LIU Yukun,2024-08-01
50m Rifle 3 Positions Men,SHO,2,Silver,Serhiy KULISH,2024-08-01
50m Rifle 3 Positions Men,SHO,3,Bronze,Swapnil KUSALE,2024-08-01
50m Rifle 3 Positions Women,SHO,1,Gold,Chiara LEONE,2024-08-02
50m Rifle 3 Positions Women,SHO,2,Silver,Sagen MADDALENA,2024-08-02
50m Rifle 3 Positions Women,SHO,3,Bronze,ZHANG Qiongyue,2024-08-02
Skeet Men,SHO,1,Gold,Vincent HANCOCK,2024-08-03
Skeet Men,SHO,2,Silver,Conner Lynn PRINCE,2024-08-03
Skeet Men,SHO,3,Bronze,LEE Meng Yuan,2024-08-03
Skeet Mixed Team,SHO,1,Gold,Italy 1,2024-08-05
Skeet Mixed Team,SHO,2,Silver,United States 1,2024-08-05
Skeet Mixed Team,SHO,3,Bronze,China,2024-08-05
Skeet Women,SHO,1,Gold,Francisca CROVETTO CHADID,2024-08-04
Skeet Women,SHO,2,Silver,Amber Jo RUTTER,2024-08-04
Skeet Women,SHO,3,Bronze,Austen Jewell SMITH,2024-08-04
Trap Men,SHO,1,Gold,Nathan HALES,2024-07-30
Trap Men,SHO,2,Silver,QI Ying,2024-07-30
Trap Men,SHO,3,Bronze,Jean Pierre BROL CARDENAS,2024-07-30
Trap Women,SHO,1,Gold,Adriana RUANO OLIVA,2024-07-31
Trap Women,SHO,2,Silver,Silvana Maria STANCO,2024-07-31
Trap Women,SHO,3,Bronze,Penny SMITH,2024-07-31
Men's Park,SKB,1,Gold,Keegan PALMER,2024-08-07
Men's Park,SKB,2,Silver,Tom SCHAAR,2024-08-07
Men's Park,SKB,3,Bronze,Augusto AKIO,2024-08-07
Men's Street,SKB,1,Gold,HORIGOME Yuto,2024-07-29
Men's Street,SKB,2,Silver,Jagger EATON,2024-07-29
Men's Street,SKB,3,Bronze,Nyjah HUSTON,2024-07-29
Women's Park,SKB,1,Gold,Arisa TREW,2024-08-06
Women's Park,SKB,2,Silver,HIRAKI Cocona,2024-08-06
Women's Park,SKB,3,Bronze,Sky BROWN,2024-08-06
Women's Street,SKB,1,Gold,YOSHIZAWA Coco,2024-07-28
Women's Street,SKB,2,Silver,AKAMA Liz,2024-07-28
Women's Street,SKB,3,Bronze,Rayssa LEAL,2024-07-28
Men,SRF,1,Gold,Kauli VAAST,2024-08-05
Men,SRF,2,Silver,Jack ROBINSON,2024-08-05
Men,SRF,3,Bronze,Gabriel MEDINA,2024-08-05
Women,SRF,1,Gold,Caroline MARKS,2024-08-05
Women,SRF,2,Silver,Tatiana WESTON-WEBB,2024-08-05
Women,SRF,3,Bronze,Johanne DEFAY,2024-08-05
Duet,SWA,1,Gold,China,2024-08-10
Duet,SWA,2,Silver,Great Britain,2024-08-10
Duet,SWA,3,Bronze,Netherlands,2024-08-10
Team,SWA,1,Gold,China,2024-08-07
Team,SWA,2,Silver,United States,2024-08-07
Team,SWA,3,Bronze,Spain,2024-08-07
Men's 100m Backstroke,SWM,1,Gold,Thomas CECCON,2024-07-29
Men's 100m Backstroke,SWM,2,Silver,XU Jiayu,2024-07-29
Men's 100m Backstroke,SWM,3,Bronze,Ryan MURPHY,2024-07-29
Men's 100m Breaststroke,SWM,1,Gold,Nicolo MARTINENGHI,2024-07-28
Men's 100m Breaststroke,SWM,2,Silver,Adam PEATY,2024-07-28
Men's 100m Breaststroke,SWM,2,Silver,Nic FINK,2024-07-28
Men's 100m Butterfly,SWM,1,Gold,Kristof MILAK,2024-08-03
Men's 100m Butterfly,SWM,2,Silver,Josh LIENDO,2024-08-03
Men's 100m Butterfly,SWM,3,Bronze,Ilya KHARUN,2024-08-03
Men's 100m Freestyle,SWM,1,Gold,PAN Zhanle,2024-07-31
Men's 100m Freestyle,SWM,2,Silver,Kyle CHALMERS,2024-07-31
Men's 100m Freestyle,SWM,3,Bronze,David POPOVICI,2024-07-31
Men's 1500m Freestyle,SWM,1,Gold,Bobby FINKE,2024-08-04
Men's 1500m Freestyle,SWM,2,Silver,Gregorio PALTRINIERI,2024-08-04
Men's 1500m Freestyle,SWM,3,Bronze,Daniel WIFFEN,2024-08-04
Men's 200m Backstroke,SWM,1,Gold,Hubert KOS,2024-08-01
Men's 200m Backstroke,SWM,2,Silver,Apostolos CHRISTOU,2024-08-01
Men's 200m Backstroke,SWM,3,Bronze,Roman MITYUKOV,2024-08-01
Men's 200m Breaststroke,SWM,1,Gold,Leon MARCHAND,2024-07-31
Men's 200m Breaststroke,SWM,2,Silver,Zac STUBBLETY-COOK,2024-07-31
Men's 200m Breaststroke,SWM,3,Bronze,Caspar CORBEAU,2024-07-31
Men's 200m Butterfly,SWM,1,Gold,Leon MARCHAND,2024-07-31
Men's 200m Butterfly,SWM,2,Silver,Kristof MILAK,2024-07-31
Men's 200m Butterfly,SWM,3,Bronze,Ilya KHARUN,2024-07-31
Men's 200m Freestyle,SWM,1,Gold,David POPOVICI,2024-07-29
Men's 200m Freestyle,SWM,2,Silver,Matthew RICHARDS,2024-07-29
Men's 200m Freestyle,SWM,3,Bronze,Luke HOBSON,2024-07-29
Men's 200m Individual Medley,SWM,1,Gold,Leon MARCHAND,2024-08-02
Men's 200m Individual Medley,SWM,2,Silver,Duncan SCOTT,2024-08-02
Men's 200m Individual Medley,SWM,3,Bronze,WANG Shun,2024-08-02
Men's 4 x 100m Freestyle Relay,SWM,1,Gold,United States,2024-07-27
Men's 4 x 100m Freestyle Relay,SWM,2,Silver,Australia,2024-07-27
Men's 4 x 100m Freestyle Relay,SWM,3,Bronze,Italy,2024-07-27
Men's 4 x 100m Medley Relay,SWM,1,Gold,China,2024-08-04
Men's 4 x 100m Medley Relay,SWM,2,Silver,United States,2024-08-04
Men's 4 x 100m Medley Relay,SWM,3,Bronze,France,2024-08-04
Men's 4 x 200m Freestyle Relay,SWM,1,Gold,Great Britain,2024-07-30
Men's 4 x 200m Freestyle Relay,SWM,2,Silver,United States,2024-07-30
Men's 4 x 200m Freestyle Relay,SWM,3,Bronze,Australia,2024-07-30
Men's 400m Freestyle,SWM,1,Gold,Lukas MAERTENS,2024-07-27
Men's 400m Freestyle,SWM,2,Silver,Elijah WINNINGTON,2024-07-27
Men's 400m Freestyle,SWM,3,Bronze,KIM Woomin,2024-07-27
Men's 400m Individual Medley,SWM,1,Gold,Leon MARCHAND,2024-07-28
Men's 400m Individual Medley,SWM,2,Silver,MATSUSHITA Tomoyuki,2024-07-28
Men's 400m Individual Medley,SWM,3,Bronze,Carson FOSTER,2024-07-28
Men's 50m Freestyle,SWM,1,Gold,Cameron McEVOY,2024-08-02
Men's 50m Freestyle,SWM,2,Silver,Benjamin PROUD,2024-08-02
Men's 50m Freestyle,SWM,3,Bronze,Florent MANAUDOU,2024-08-02
Men's 800m Freestyle,SWM,1,Gold,Daniel WIFFEN,2024-07-30
Men's 800m Freestyle,SWM,2,Silver,Bobby FINKE,2024-07-30
Men's 800m Freestyle,SWM,3,Bronze,Gregorio PALTRINIERI,2024-07-30
Mixed 4 x 100m Medley Relay,SWM,1,Gold,United States,2024-08-03
Mixed 4 x 100m Medley Relay,SWM,2,Silver,China,2024-08-03
Mixed 4 x 100m Medley Relay,SWM,3,Bronze,Australia,2024-08-03
Women's 100m Backstroke,SWM,1,Gold,Kaylee McKEOWN,2024-07-30
Women's 100m Backstroke,SWM,2,Silver,Regan SMITH,2024-07-30
Women's 100m Backstroke,SWM,3,Bronze,Katharine BERKOFF,2024-07-30
Women's 100m Breaststroke,SWM,1,Gold,Tatjana SMITH,2024-07-29
Women's 100m Breaststroke,SWM,2,Silver,TANG Qianting,2024-07-29
Women's 100m Breaststroke,SWM,3,Bronze,Mona Mc SHARRY,2024-07-29
Women's 100m Butterfly,SWM,1,Gold,Torri HUSKE,2024-07-28
Women's 100m Butterfly,SWM,2,Silver,Gretchen WALSH,2024-07-28
Women's 100m Butterfly,SWM,3,Bronze,ZHANG Yufei,2024-07-28
Women's 100m Freestyle,SWM,1,Gold,Sarah SJOESTROEM,2024-07-31
Women's 100m Freestyle,SWM,2,Silver,Torri HUSKE,2024-07-31
Women's 100m Freestyle,SWM,3,Bronze,HAUGHEY Siobhan Bernadette,2024-07-31
Women's 1500m Freestyle,SWM,1,Gold,Katie LEDECKY,2024-07-31
Women's 1500m Freestyle,SWM,2,Silver,Anastasiia KIRPICHNIKOVA,2024-07-31
Women's 1500m Freestyle,SWM,3,Bronze,Isabel GOSE,2024-07-31
Women's 200m Backstroke,SWM,1,Gold,Kaylee McKEOWN,2024-08-02
Women's 200m Backstroke,SWM,2,Silver,Regan SMITH,2024-08-02
Women's 200m Backstroke,SWM,3,Bronze,Kylie MASSE,2024-08-02
Women's 200m Breaststroke,SWM,1,Gold,Kate DOUGLASS,2024-08-01
Women's 200m Breaststroke,SWM,2,Silver,Tatjana SMITH,2024-08-01
Women's 200m Breaststroke,SWM,3,Bronze,Tes SCHOUTEN,2024-08-01
Women's 200m Butterfly,SWM,1,Gold,Summer McINTOSH,2024-08-01
Women's 200m Butterfly,SWM,2,Silver,Regan SMITH,2024-08-01
Women's 200m Butterfly,SWM,3,Bronze,ZHANG Yufei,2024-08-01
Women's 200m Freestyle,SWM,1,Gold,Mollie O'CALLAGHAN,2024-07-29
Women's 200m Freestyle,SWM,2,Silver,Ariarne TITMUS,2024-07-29
Women's 200m Freestyle,SWM,3,Bronze,HAUGHEY Siobhan Bernadette,2024-07-29
Women's 200m Individual Medley,SWM,1,Gold,Summer McINTOSH,2024-08-03
Women's 200m Individual Medley,SWM,2,Silver,Kate DOUGLASS,2024-08-03
Women's 200m Individual Medley,SWM,3,Bronze,Kaylee McKEOWN,2024-08-03
Women's 4 x 100m Freestyle Relay,SWM,1,Gold,Australia,2024-07-27
Women's 4 x 100m Freestyle Relay,SWM,2,Silver,United States,2024-07-27
Women's 4 x 100m Freestyle Relay,SWM,3,Bronze,China,2024-07-27
Women's 4 x 100m Medley Relay,SWM,1,Gold,United States,2024-08-04
Women's 4 x 100m Medley Relay,SWM,2,Silver,Australia,2024-08-04
Women's 4 x 100m Medley Relay,SWM,3,Bronze,China,2024-08-04
Women's 4 x 200m Freestyle Relay,SWM,1,Gold,Australia,2024-08-01
Women's 4 x 200m Freestyle Relay,SWM,2,Silver,United States,2024-08-01
Women's 4 x 200m Freestyle Relay,SWM,3,Bronze,China,2024-08-01
Women's 400m Freestyle,SWM,1,Gold,Ariarne TITMUS,2024-07-27
Women's 400m Freestyle,SWM,2,Silver,Summer McINTOSH,2024-07-27
Women's 400m Freestyle,SWM,3,Bronze,Katie LEDECKY,2024-07-27
Women's 400m Individual Medley,SWM,1,Gold,Summer McINTOSH,2024-07-29
Women's 400m Individual Medley,SWM,2,Silver,Katie GRIMES,2024-07-29
Women's 400m Individual Medley,SWM,3,Bronze,Emma WEYANT,2024-07-29
Women's 50m Freestyle,SWM,1,Gold,Sarah SJOESTROEM,2024-08-04
Women's 50m Freestyle,SWM,2,Silver,Meg HARRIS,2024-08-04
Women's 50m Freestyle,SWM,3,Bronze,ZHANG Yufei,2024-08-04
Women's 800m Freestyle,SWM,1,Gold,Katie LEDECKY,2024-08-03
Women's 800m Freestyle,SWM,2,Silver,Ariarne TITMUS,2024-08-03
Women's 800m Freestyle,SWM,3,Bronze,Paige MADDEN,2024-08-03
Men's Doubles,TEN,1,Gold,EBDEN/PEERS,2024-08-03
Men's Doubles,TEN,2,Silver,KRAJICEK/RAM,2024-08-03
Men's Doubles,TEN,3,Bronze,FRITZ/PAUL,2024-08-03
Men's Singles,TEN,3,Bronze,Lorenzo MUSETTI,2024-08-03
Men's Singles,TEN,1,Gold,Novak DJOKOVIC,2024-08-04
Men's Singles,TEN,2,Silver,Carlos ALCARAZ,2024-08-04
Mixed Doubles,TEN,1,Gold,SINIAKOVA/MACHAC,2024-08-02
Mixed Doubles,TEN,2,Silver,WANG/ZHANG,2024-08-02
Mixed Doubles,TEN,3,Bronze,DABROWSKI/AUGER-ALIAS,2024-08-02
Women's Doubles,TEN,1,Gold,ERRANI/PAOLINI,2024-08-04
Women's Doubles,TEN,2,Silver,ANDREEVA/SHNAIDER,2024-08-04
Women's Doubles,TEN,3,Bronze,BUCSA/SORRIBES TORMO,2024-08-04
Women's Singles,TEN,3,Bronze,Iga SWIATEK,2024-08-02
Women's Singles,TEN,1,Gold,ZHENG Qinwen,2024-08-03
Women's Singles,TEN,2,Silver,Donna VEKIC,2024-08-03
Men +80kg,TKW,1,Gold,Arian SALIMI,2024-08-10
Men +80kg,TKW,2,Silver,Caden CUNNINGHAM,2024-08-10
Men +80kg,TKW,3,Bronze,Rafael ALBA,2024-08-10
Men +80kg,TKW,3,Bronze,Cheick Sallah CISSE,2024-08-10
Men -58kg,TKW,1,Gold,PARK Taejoon,2024-08-07
Men -58kg,TKW,2,Silver,Gashim MAGOMEDOV,2024-08-07
Men -58kg,TKW,3,Bronze,Cyrian RAVET,2024-08-07
Men -58kg,TKW,3,Bronze,Mohamed Khalil JENDOUBI,2024-08-07
Men -68kg,TKW,1,Gold,Ulugbek RASHITOV,2024-08-08
Men -68kg,TKW,2,Silver,Zaid KAREEM,2024-08-08
Men -68kg,TKW,3,Bronze,LIANG Yushuai,2024-08-08
Men -68kg,TKW,3,Bronze,Edival PONTES,2024-08-08
Men -80kg,TKW,1,Gold,Firas KATOUSSI,2024-08-09
Men -80kg,TKW,2,Silver,Mehran BARKHORDARI,2024-08-09
Men -80kg,TKW,3,Bronze,Simone ALESSIO,2024-08-09
Men -80kg,TKW,3,Bronze,Edi HRNIC,2024-08-09
Women +67kg,TKW,1,Gold,Althea LAURIN,2024-08-10
Women +67kg,TKW,2,Silver,Svetlana OSIPOVA,2024-08-10
Women +67kg,TKW,3,Bronze,LEE Dabin,2024-08-10
Women +67kg,TKW,3,Bronze,Nafia KUS AYDIN,2024-08-10
Women -49kg,TKW,1,Gold,Panipak WONGPATTANAKIT,2024-08-07
Women -49kg,TKW,2,Silver,GUO Qing,2024-08-07
Women -49kg,TKW,3,Bronze,Mobina NEMATZADEH,2024-08-07
Women -49kg,TKW,3,Bronze,Lena STOJKOVIC,2024-08-07
Women -57kg,TKW,1,Gold,KIM Yujin,2024-08-08
Women -57kg,TKW,2,Silver,Nahid KIYANICHANDEH,2024-08-08
Women -57kg,TKW,3,Bronze,Skylar PARK,2024-08-08
Women -57kg,TKW,3,Bronze,Alizadeh KIMIA,2024-08-08
Women -67kg,TKW,1,Gold,Viviana MARTON,2024-08-09
Women -67kg,TKW,2,Silver,Aleksandra PERISIC,2024-08-09
Women -67kg,TKW,3,Bronze,Kristina TEACHOUT,2024-08-09
Women -67kg,TKW,3,Bronze,Sarah CHAARI,2024-08-09
Men's Individual,TRI,1,Gold,Alex YEE,2024-07-31
Men's Individual,TRI,2,Silver,Hayden WILDE,2024-07-31
Men's Individual,TRI,3,Bronze,Leo BERGERE,2024-07-31
Mixed Relay,TRI,1,Gold,Germany,2024-08-05
Mixed Relay,TRI,2,Silver,United States,2024-08-05
Mixed Relay,TRI,3,Bronze,Great Britain,2024-08-05
Women's Individual,TRI,1,Gold,Cassandre BEAUGRAND,2024-07-31
Women's Individual,TRI,2,Silver,Julie DERRON,2024-07-31
Women's Individual,TRI,3,Bronze,Beth POTTER,2024-07-31
Men's Singles,TTE,1,Gold,FAN Zhendong,2024-08-04
Men's Singles,TTE,2,Silver,Truls MOREGARD,2024-08-04
Men's Singles,TTE,3,Bronze,Felix LEBRUN,2024-08-04
Men's Team,TTE,1,Gold,China,2024-08-09
Men's Team,TTE,2,Silver,Sweden,2024-08-09
Men's Team,TTE,3,Bronze,France,2024-08-09
Mixed Doubles,TTE,1,Gold,WANG/SUN,2024-07-30
Mixed Doubles,TTE,2,Silver,RI/KIM,2024-07-30
Mixed Doubles,TTE,3,Bronze,LIM/SHIN,2024-07-30
Women's Singles,TTE,1,Gold,CHEN Meng,2024-08-03
Women's Singles,TTE,2,Silver,SUN Yingsha,2024-08-03
Women's Singles,TTE,3,Bronze,Hina HAYATA,2024-08-03
Women's Team,TTE,1,Gold,China,2024-08-10
Women's Team,TTE,2,Silver,Japan,2024-08-10
Women's Team,TTE,3,Bronze,Korea,2024-08-10
Men,VBV,1,Gold,AHMAN/HELLVIG,2024-08-10
Men,VBV,2,Silver,EHLERS/WICKLER,2024-08-10
Men,VBV,3,Bronze,MOL/SORUM,2024-08-10
Women,VBV,1,Gold,ANA PATRICIA/DUDA,2024-08-09
Women,VBV,2,Silver,MELISSA/BRANDIE,2024-08-09
Women,VBV,3,Bronze,HUBERLI/BRUNNER,2024-08-09
Men,VVO,3,Bronze,United States,2024-08-09
Men,VVO,1,Gold,France,2024-08-10
Men,VVO,2,Silver,Poland,2024-08-10
Women,VVO,3,Bronze,Brazil,2024-08-10
Women,VVO,1,Gold,Italy,2024-08-11
Women,VVO,2,Silver,United States,2024-08-11
Men,WLF,1,Gold,Serbia,2024-08-11
Men,WLF,2,Silver,Croatia,2024-08-11
Men,WLF,3,Bronze,United States,2024-08-11
Men's +102kg,WLF,1,Gold,Lasha TALAKHADZE,2024-08-10
Men's +102kg,WLF,2,Silver,Varazdat LALAYAN,2024-08-10
Men's +102kg,WLF,3,Bronze,Gor MINASYAN,2024-08-10
Men's 102kg,WLF,1,Gold,LIU Huanhua,2024-08-10
Men's 102kg,WLF,2,Silver,Akbar DJURAEV,2024-08-10
Men's 102kg,WLF,3,Bronze,Yauheni TSIKHANTSOU,2024-08-10
Men's 61kg,WLF,1,Gold,LI Fabin,2024-08-07
Men's 61kg,WLF,2,Silver,Theerapong SILACHAI,2024-08-07
Men's 61kg,WLF,3,Bronze,Hampton MORRIS,2024-08-07
Men's 73kg,WLF,1,Gold,Rizki JUNIANSYAH,2024-08-08
Men's 73kg,WLF,2,Silver,Weeraphon WICHUMA,2024-08-08
Men's 73kg,WLF,3,Bronze,Bozhidar Dimitrov ANDREEV,2024-08-08
Men's 89kg,WLF,1,Gold,Karlos May NASAR,2024-08-09
Men's 89kg,WLF,2,Silver,Yeison LOPEZ,2024-08-09
Men's 89kg,WLF,3,Bronze,Antonino PIZZOLATO,2024-08-09
Women,WLF,1,Gold,Spain,2024-08-10
Women,WLF,2,Silver,Australia,2024-08-10
Women,WLF,3,Bronze,Netherlands,2024-08-10
Women's +81kg,WLF,1,Gold,LI Wenwen,2024-08-11
Women's +81kg,WLF,2,Silver,PARK Hyejeong,2024-08-11
Women's +81kg,WLF,3,Bronze,Emily CAMPBELL,2024-08-11
Women's 49kg,WLF,1,Gold,HOU Zhihui,2024-08-07
Women's 49kg,WLF,2,Silver,Mihaela Valentina CAMBEI,2024-08-07
Women's 49kg,WLF,3,Bronze,Surodchana KHAMBAO,2024-08-07
Women's 59kg,WLF,1,Gold,LUO Shifang,2024-08-08
Women's 59kg,WLF,2,Silver,Maude CHARRON,2024-08-08
Women's 59kg,WLF,3,Bronze,KUO Hsing-Chun,2024-08-08
Women's 71kg,WLF,1,Gold,Olivia REEVES,2024-08-09
Women's 71kg,WLF,2,Silver,Mari Leivis SANCHEZ,2024-08-09
Women's 71kg,WLF,3,Bronze,Angie Paola PALACIOS DAJOMES,2024-08-09
Women's 81kg,WLF,1,Gold,Solfrid Eila Amena KOANDA,2024-08-10
Women's 81kg,WLF,2,Silver,Sara AHMED,2024-08-10
Women's 81kg,WLF,3,Bronze,Neisi Patricia DAJOMES BARRERA,2024-08-10
Men's Freestyle 125kg,WRE,1,Gold,Geno PETRIASHVILI,2024-08-10
Men's Freestyle 125kg,WRE,2,Silver,Amir Hossein ZARE,2024-08-10
Men's Freestyle 125kg,WRE,3,Bronze,Taha AKGUL,2024-08-10
Men's Freestyle 125kg,WRE,3,Bronze,Giorgi MESHVILDISHVILI,2024-08-10
Men's Freestyle 57kg,WRE,1,Gold,HIGUCHI Rei,2024-08-09
Men's Freestyle 57kg,WRE,2,Silver,Spencer Richard LEE,2024-08-09
Men's Freestyle 57kg,WRE,3,Bronze,Aman AMAN,2024-08-09
Men's Freestyle 57kg,WRE,3,Bronze,Gulomjon ABDULLAEV,2024-08-09
Men's Freestyle 65kg,WRE,1,Gold,KIYOOKA Kotaro,2024-08-11
Men's Freestyle 65kg,WRE,2,Silver,Rahman AMOUZADKHALILI,2024-08-11
Men's Freestyle 65kg,WRE,3,Bronze,Sebastian C RIVERA,2024-08-11
Men's Freestyle 65kg,WRE,3,Bronze,Islam DUDAEV,2024-08-11
Men's Freestyle 74kg,WRE,1,Gold,Razambek Salambekovitch JAMALOV,2024-08-10
Men's Freestyle 74kg,WRE,2,Silver,TAKATANI Daichi,2024-08-10
Men's Freestyle 74kg,WRE,3,Bronze,Kyle Douglas DAKE,2024-08-10
Men's Freestyle 74kg,WRE,3,Bronze,Chermen VALIEV,2024-08-10
Men's Freestyle 86kg,WRE,1,Gold,Magomed Eldarovitch RAMAZANOV,2024-08-09
Men's Freestyle 86kg,WRE,2,Silver,Hassan YAZDANICHARATI,2024-08-09
Men's Freestyle 86kg,WRE,3,Bronze,Aaron Marquel BROOKS,2024-08-09
Men's Freestyle 86kg,WRE,3,Bronze,Dauren KURUGLIEV,2024-08-09
Men's Freestyle 97kg,WRE,1,Gold,Akhmed TAZHUDINOV,2024-08-11
Men's Freestyle 97kg,WRE,2,Silver,Givi MATCHARASHVILI,2024-08-11
Men's Freestyle 97kg,WRE,3,Bronze,Magomedkhan MAGOMEDOV,2024-08-11
Men's Freestyle 97kg,WRE,3,Bronze,Amirali AZARPIRA,2024-08-11
Men's Greco-Roman 130kg,WRE,1,Gold,Mijain LOPEZ NUNEZ,2024-08-06
